------------------------------ In iteration 0 of ranking_sel ------------------------------
gen: 25, Best Individual: Individual(size=51); Fitness: 1200.5
gen: 26, Best Individual: Individual(size=51); Fitness: 1200.5
gen: 27, Best Individual: Individual(size=51); Fitness: 1200.5
gen: 28, Best Individual: Individual(size=51); Fitness: 1200.5
gen: 29, Best Individual: Individual(size=51); Fitness: 1200.5
------------------------------ In iteration 3 of ranking_sel ------------------------------
gen: 0, Best Individual: Individual(size=51); Fitness: 1947.5
gen: 1, Best Individual: Individual(size=51); Fitness: 1947.5
gen: 2, Best Individual: Individual(size=51); Fitness: 1947.5
gen: 3, Best Individual: Individual(size=51); Fitness: 1947.5
gen: 4, Best Individual: Individual(size=51); Fitness: 1947.5
gen: 5, Best Individual: Individual(size=51); Fitness: 1947.5
Crossover not possible
gen: 6, Best Individual: Individual(size=51); Fitness: 1947.5
gen: 7, Best Individual: Individual(size=51); Fitness: 1947.5
gen: 8, Best Individual: Individual(size=51); Fitness: 1947.5
Crossover not possible
Crossover not possible
gen: 9, Best Individual: Individual(size=51); Fitness: 1947.5
gen: 10, Best Individual: Individual(size=51); Fitness: 1947.5
gen: 11, Best Individual: Individual(size=51); Fitness: 1926.0
gen: 12, Best Individual: Individual(size=51); Fitness: 1919.0
gen: 13, Best Individual: Individual(size=51); Fitness: 1647.5
gen: 14, Best Individual: Individual(size=51); Fitness: 1647.5
gen: 15, Best Individual: Individual(size=51); Fitness: 1647.5
gen: 16, Best Individual: Individual(size=51); Fitness: 1614.0
gen: 17, Best Individual: Individual(size=51); Fitness: 1599.0
gen: 18, Best Individual: Individual(size=51); Fitness: 1599.0
gen: 19, Best Individual: Individual(size=51); Fitness: 1599.0
gen: 20, Best Individual: Individual(size=51); Fitness: 1599.0
gen: 21, Best Individual: Individual(size=51); Fitness: 1599.0
gen: 22, Best Individual: Individual(size=51); Fitness: 1599.0
gen: 23, Best Individual: Individual(size=51); Fitness: 1599.0
gen: 24, Best Individual: Individual(size=51); Fitness: 1599.0
gen: 25, Best Individual: Individual(size=51); Fitness: 1599.0
gen: 26, Best Individual: Individual(size=51); Fitness: 1599.0
gen: 27, Best Individual: Individual(size=51); Fitness: 1599.0
gen: 28, Best Individual: Individual(size=51); Fitness: 1599.0
gen: 29, Best Individual: Individual(size=51); Fitness: 1535.5
------------------------------ In iteration 4 of ranking_sel ------------------------------
Crossover not possible
gen: 0, Best Individual: Individual(size=51); Fitness: 2344.0
Crossover not possible
gen: 1, Best Individual: Individual(size=51); Fitness: 2344.0
gen: 2, Best Individual: Individual(size=51); Fitness: 2344.0
gen: 3, Best Individual: Individual(size=51); Fitness: 2344.0
Crossover not possible
gen: 4, Best Individual: Individual(size=51); Fitness: 2344.0
gen: 5, Best Individual: Individual(size=51); Fitness: 2273.5
